Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
N9849C,C182,KIWA,Phoenix-Mesa Gateway,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 14:12:00,2017-02-11 16:00:00,1:48
N319,,L 34.91556 -106.37389,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 14:16:00,,n/a
N440WW,BE20,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KFMN,Four Corners Rgnl,"Farmington, NM",2017-02-11 14:40:00,2017-02-11 15:16:00,0:36
LOF4787,E145,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDEN,Denver Intl,"Denver, CO",2017-02-11 14:44:00,2017-02-11 15:34:00,0:50
ASH6102,E170,KIAH,Houston Bush Int'ctl,"Houston, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 14:53:00,2017-02-11 15:38:00,1:45
SWA5250,B737,KBWI,Baltimore/Washington Intl,"Baltimore, MD",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 14:54:00,2017-02-11 17:01:00,4:06
N642PC,PC12,KROW,Roswell Air Center,"Roswell, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 14:59:00,2017-02-11 15:48:00,0:49
N11TK,EVOT ,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KHQZ,Mesquite Metro,"Mesquite, TX",2017-02-11 15:07:00,2017-02-11 18:10:00,2:03
SWA5911,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDAL,Dallas Love Fld,"Dallas, TX",2017-02-11 15:12:00,2017-02-11 17:28:00,1:16
N305LG,BE20,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSKX,Taos Rgnl,"Taos, NM",2017-02-11 15:15:00,2017-02-11 15:38:00,0:23
AAL1353,MD80,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:17:00,2017-02-11 15:42:00,1:25
SWA2545,B738,KSAN,San Diego Intl,"San Diego, CA",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:18:00,2017-02-11 17:32:00,1:13
N1281K,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",L 34.61860 -106.73500,"Belen, NM","Belen, NM",2017-02-11 15:22:00,,n/a
ASH5963,CRJ9,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-11 15:23:00,2017-02-11 16:20:00,0:57
SWA5901,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KHOU,William P Hobby,"Houston, TX",2017-02-11 15:25:00,2017-02-11 18:14:00,1:49
SWA866,B737,KDAL,Dallas Love Fld,"Dallas, TX",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:27:00,2017-02-11 15:55:00,1:28
N483NM,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:27:00,2017-02-11 15:30:00,0:03
SKW5253,CRJ7,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KIAH,Houston Bush Int'ctl,"Houston, TX",2017-02-11 15:27:00,2017-02-11 18:10:00,1:43
N80866,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:38:00,2017-02-11 16:49:00,1:10
CFS786,C208,KDRO,Durango-La Plata County,"Durango, CO",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:54:00,2017-02-11 16:46:00,0:51
FDX386,A306,KMEM,Memphis Intl,"Memphis, TN",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:54:00,2017-02-11 17:07:00,2:13
N306LG,,L 35.08763 -106.63460,"Albuquerque, NM","Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 15:58:00,2017-02-11 16:10:00,0:11
N7873N,,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 16:08:00,2017-02-11 17:38:00,1:30
SWA1762,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KLAS,Harry Reid Intl,"Las Vegas, NV",2017-02-11 16:20:00,2017-02-11 16:35:00,1:15
BLK5,BE9L,KGUP,Gallup Muni,"Gallup, NM",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 16:21:00,2017-02-11 16:52:00,0:31
ASH5989,CRJ9,KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",2017-02-11 16:25:00,2017-02-11 17:07:00,0:42
ASA775,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-11 16:30:00,2017-02-11 18:14:00,2:44
SWA866,B737,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDEN,Denver Intl,"Denver, CO",2017-02-11 16:38:00,2017-02-11 17:32:00,0:54
AAL1353,MD80,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",2017-02-11 16:48:00,2017-02-11 19:02:00,1:14
N912NM,PC12,KABQ,Albuquerque Intl Sunport,"Albuquerque, NM",KSRR,Sierra Blanca Rgnl,"Ruidoso, NM",2017-02-11 16:53:00,2017-02-11 17:38:00,0:45
