Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
SWA3205,B737,KSNA,John Wayne,"Santa Ana, CA",KSMF,Sacramento Intl,"Sacramento, CA",2017-02-09 18:58:00,2017-02-09 20:03:00,1:05
SWA4427,B737,KSJC,San Jose Int'l,"San Jose, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 18:58:00,2017-02-09 19:59:00,1:00
UAL440,B738,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 18:59:00,2017-02-09 21:45:00,1:46
UAL562,B738,KDEN,Denver Intl,"Denver, CO",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:01:00,2017-02-09 19:59:00,1:58
DJR429,C25B,KOLS,Nogales Intl,"Nogales, AZ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:01:00,2017-02-09 19:18:00,1:17
ASA510,B738,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:02:00,2017-02-09 21:36:00,2:34
CPZ5739,E170,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:07:00,2017-02-09 21:42:00,2:35
UAL1075,B737,KEWR,Newark Liberty Intl,"Newark, NJ",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:09:00,2017-02-09 21:39:00,5:30
FFT714,A319,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 19:20:00,2017-02-09 22:15:00,1:55
SWA578,B737,KDAL,Dallas Love Fld,"Dallas, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:22:00,2017-02-09 20:12:00,2:50
FDX1369,A306,KSNA,John Wayne,"Santa Ana, CA",KMEM,Memphis Intl,"Memphis, TN",2017-02-09 19:22:00,2017-02-10 00:24:00,3:02
AAL1278,B738,KDFW,Dallas-Fort Worth Intl,"Dallas-Fort Worth, TX",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:24:00,2017-02-09 20:05:00,2:41
ASA585,B738,KSNA,John Wayne,"Santa Ana, CA",KPDX,Portland Intl,"Portland, OR",2017-02-09 19:25:00,2017-02-09 21:21:00,1:56
SWA1693,B737,KSNA,John Wayne,"Santa Ana, CA",KSMF,Sacramento Intl,"Sacramento, CA",2017-02-09 19:26:00,2017-02-09 20:32:00,1:06
UPS913,B752,KSNA,John Wayne,"Santa Ana, CA",KSDF,Muhammad Ali Intl,"Louisville, KY",2017-02-09 19:27:00,2017-02-10 01:47:00,3:20
SWA4631,B737,KSNA,John Wayne,"Santa Ana, CA",KDEN,Denver Intl,"Denver, CO",2017-02-09 19:30:00,2017-02-09 22:17:00,1:46
SWA4640,B737,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:32:00,2017-02-09 20:39:00,1:07
UAL1609,B738,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:35:00,2017-02-09 20:42:00,1:07
SWA4093,B737,KLAS,Harry Reid Intl,"Las Vegas, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:37:00,2017-02-09 20:18:00,0:41
CPZ5818,E170,KSNA,John Wayne,"Santa Ana, CA",KSEA,Seattle-Tacoma Intl,"Seattle, WA",2017-02-09 19:41:00,2017-02-09 22:11:00,2:30
N117AA,CL60,KSNA,John Wayne,"Santa Ana, CA",KBFI,Boeing Field Intl,"Seattle, WA",2017-02-09 19:46:00,2017-02-09 21:59:00,2:13
AAL1246,B738,KSNA,John Wayne,"Santa Ana, CA",KPHX,Phoenix Sky Harbor Intl,"Phoenix, AZ",2017-02-09 19:48:00,2017-02-09 21:41:00,0:53
KFB22,C550,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:51:00,2017-02-09 21:07:00,1:16
SWA4171,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 19:51:00,2017-02-09 20:51:00,1:00
DJR429,C25B,KSNA,John Wayne,"Santa Ana, CA",KTRM,Jacqueline Cochran Rgnl,"Thermal, CA",2017-02-09 19:53:00,2017-02-09 20:14:00,0:20
UAL2003,B737,KORD,Chicago O'Hare Intl,"Chicago, IL",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:53:00,2017-02-09 21:51:00,3:58
SWA151,B737,KSFO,San Francisco Int'l,"San Francisco, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:54:00,2017-02-09 20:59:00,1:05
SWA4386,B737,KOAK,Metro Oakland Intl,"Oakland, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 19:58:00,2017-02-09 21:01:00,1:03
SWA1539,B737,KSNA,John Wayne,"Santa Ana, CA",KSFO,San Francisco Int'l,"San Francisco, CA",2017-02-09 19:59:00,2017-02-09 21:06:00,1:07
SWA1226,B737,KSNA,John Wayne,"Santa Ana, CA",KOAK,Metro Oakland Intl,"Oakland, CA",2017-02-09 20:02:00,2017-02-09 21:03:00,1:01
BLK111,GLF5,KRNO,Reno/Tahoe Intl,"Reno, NV",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:06:00,2017-02-09 21:15:00,1:08
N185SD,,KSNA,John Wayne,"Santa Ana, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:10:00,2017-02-09 20:46:00,0:35
BLK57,GLF4,KSMO,Santa Monica Muni,"Santa Monica, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:13:00,2017-02-09 20:32:00,0:18
DAL2093,A319,KMSP,Minneapolis/St Paul Intl,"Minneapolis, MN",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:14:00,2017-02-09 21:58:00,3:44
SWA3176,B737,KSMF,Sacramento Intl,"Sacramento, CA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:22:00,2017-02-09 21:32:00,1:10
ASA518,B738,KSEA,Seattle-Tacoma Intl,"Seattle, WA",KSNA,John Wayne,"Santa Ana, CA",2017-02-09 20:24:00,2017-02-09 22:55:00,2:30
